countyId,countyName,currentSubCountyId,currentSubCountyName,wards,authoritativeSubCountyNames,authoritativeWardCount,canonicalTargetId,canonicalTargetName,classification,reason,farmers,farms,businessPartners,destinationTransactions,sourceTransactions
87,Kisii,507,Nyaribari Masaba Sub County,5,Nyaribari Masaba Sub County,5,507,Nyaribari Masaba Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
87,Kisii,508,Nyaribari Chache  Sub County,6,Nyaribari Chache  Sub County,6,508,Nyaribari Chache  Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
87,Kisii,510,Kitutu Chache North Sub County,4,Kitutu Chache North Sub County,4,510,Kitutu Chache North Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
93,Kisumu,471,Kisumu East Sub County,5,Kisumu East Sub County,5,471,Kisumu East Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
93,Kisumu,477,Kisumu Central Sub County,6,Kisumu Central Sub County,6,477,Kisumu Central Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
93,Kisumu,484,Kisumu West Sub County,5,Kisumu West Sub County,5,484,Kisumu West Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
93,Kisumu,494,Seme Sub County,4,Seme Sub County,4,494,Seme Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
93,Kisumu,495,Nyando Sub County,5,Nyando Sub County,5,495,Nyando Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
93,Kisumu,496,Muhoroni Sub County,5,Muhoroni Sub County,5,496,Muhoroni Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
93,Kisumu,497,Nyakach Sub County,5,Nyakach Sub County,5,497,Nyakach Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
