gid,authoritativeCounty,authoritativeSubCounty,authoritativeWard,normalizedCounty,normalizedSubCounty,actualWardId,actualCountyId,actualCountyName,actualSubCountyId,actualSubCountyName,candidateCountyIds,candidateSubCountyIds,candidateSubCountyNames,status,reason
958,KERICHO,Belgut Sub County,Kabianga Ward,kericho,belgut,1888,56,Kericho,1482,Belgut,56,1482,Belgut,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1814,Mombasa,Nyali  Sub County,Kadzandani Ward,mombasa,nyali,1889,55,Mombasa,1256,Nyali,55,1256,Nyali,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1794,Nakuru,Nakuru East  Sub County,Nakuru East Ward,nakuru,nakurueast,1890,77,Nakuru,1464,Nakuru East,77,1464,Nakuru East,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1795,Mombasa,Changamwe Sub County,Port Reitz Ward,mombasa,changamwe,1891,55,Mombasa,1251,Changamwe,55,1251,Changamwe,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
962,KERICHO,Sigowet/Soin Sub County,Sigowet Ward,kericho,sigowetsoin,1892,56,Kericho,474,Sigowet/Soin Sub County,56,474,Sigowet/Soin Sub County,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
963,KERICHO,Sigowet/Soin Sub County,Kaplelartet Ward,kericho,sigowetsoin,1893,56,Kericho,474,Sigowet/Soin Sub County,56,474,Sigowet/Soin Sub County,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
964,KERICHO,Sigowet/Soin Sub County,Soliat Ward,kericho,sigowetsoin,1894,56,Kericho,474,Sigowet/Soin Sub County,56,474,Sigowet/Soin Sub County,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
965,KERICHO,Sigowet/Soin Sub County,Soin Ward,kericho,sigowetsoin,1895,56,Kericho,474,Sigowet/Soin Sub County,56,474,Sigowet/Soin Sub County,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1816,Mombasa,Likoni  Sub County,Shika Adabu Ward,mombasa,likoni,1896,55,Mombasa,1254,Likoni,55,1254,Likoni,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1804,Mombasa,Kisauni  Sub County,Junda Ward,mombasa,kisauni,1897,55,Mombasa,1253,Kisauni,55,1253,Kisauni,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1805,Mombasa,Kisauni  Sub County,Bamburi Ward,mombasa,kisauni,1898,55,Mombasa,1253,Kisauni,55,1253,Kisauni,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
