sourceGid,wardName,authoritativeCountyName,authoritativeSubcountyName,authoritativeScuid,authoritativeCountyId,authoritativeSubcountyId,databaseWardId,databaseWardName,databaseCountyId,databaseCountyName,databaseSubcountyId,databaseSubcountyName,status,resolutionType,notes
1619,Siboti Ward,Bungoma,Bumula Sub County,jkQZEow83MX,53,1511,1111,Siboti Ward,53,Bungoma,1511,Bumula,CORRECT,NORMALIZED,
1620,Bukembe West Ward,Bungoma,Kanduyi Sub County,CUjthlounWV,53,284,1112,Bukembe West Ward,53,Bungoma,284,Kanduyi Sub County,CORRECT,EXACT,
1621,Bukembe East Ward,Bungoma,Kanduyi Sub County,CUjthlounWV,53,284,1113,Bukembe East Ward,53,Bungoma,284,Kanduyi Sub County,CORRECT,EXACT,
1634,Bokoli Ward,Bungoma,Webuye West Sub County,aqYhbqKclsI,53,1520,1114,Bokoli Ward,53,Bungoma,1520,Webuye West,CORRECT,NORMALIZED,
1635,Kibingei Ward,Bungoma,Kimilili Sub County,AphsS3lJwKU,53,1517,1115,Kibingei Ward,53,Bungoma,1517,Kimilili,CORRECT,NORMALIZED,
1636,Kimilili Ward,Bungoma,Kimilili Sub County,AphsS3lJwKU,53,1517,1116,Kimilili Ward,53,Bungoma,1517,Kimilili,CORRECT,NORMALIZED,
1637,Maeni Ward,Bungoma,Kimilili Sub County,AphsS3lJwKU,53,1517,1117,Maeni Ward,53,Bungoma,1517,Kimilili,CORRECT,NORMALIZED,
1638,Kamukuywa Ward,Bungoma,Kimilili Sub County,AphsS3lJwKU,53,1517,1118,Kamukuywa Ward,53,Bungoma,1517,Kimilili,CORRECT,NORMALIZED,
1639,Mbakalo Ward,Bungoma,Tongaren Sub County,orUwYD52An3,53,1519,1119,Mbakalo Ward,53,Bungoma,1519,Tongaren,CORRECT,NORMALIZED,
1640,Naitiri/kabuyefwe Ward,Bungoma,Tongaren Sub County,orUwYD52An3,53,1519,1120,Naitiri/kabuyefwe Ward,53,Bungoma,1519,Tongaren,CORRECT,NORMALIZED,
1641,Milima Ward,Bungoma,Tongaren Sub County,orUwYD52An3,53,1519,1121,Milima Ward,53,Bungoma,1519,Tongaren,CORRECT,NORMALIZED,
1642,Ndalu/ Tabani Ward,Bungoma,Tongaren Sub County,orUwYD52An3,53,1519,1122,Ndalu/ Tabani Ward,53,Bungoma,1519,Tongaren,CORRECT,NORMALIZED,
1643,Tongaren Ward,Bungoma,Tongaren Sub County,orUwYD52An3,53,1519,1123,Tongaren Ward,53,Bungoma,1519,Tongaren,CORRECT,NORMALIZED,
1644,Soysambu/ Mitua Ward,Bungoma,Tongaren Sub County,orUwYD52An3,53,1519,1124,Soysambu/ Mitua Ward,53,Bungoma,1519,Tongaren,CORRECT,NORMALIZED,
1645,Mautuma Ward,Kakamega,Lugari Sub County,ZOdhgR19Akq,54,1500,1125,Mautuma Ward,54,Kakamega,1500,Lugari,CORRECT,NORMALIZED,
1646,Lugari Ward,Kakamega,Lugari Sub County,ZOdhgR19Akq,54,1500,1126,Lugari Ward,54,Kakamega,1500,Lugari,CORRECT,NORMALIZED,
1647,Lumakanda Ward,Kakamega,Lugari Sub County,ZOdhgR19Akq,54,1500,1127,Lumakanda Ward,54,Kakamega,1500,Lugari,CORRECT,NORMALIZED,
1648,Chekalini Ward,Kakamega,Lugari Sub County,ZOdhgR19Akq,54,1500,1128,Chekalini Ward,54,Kakamega,1500,Lugari,CORRECT,NORMALIZED,
1649,Chevaywa Ward,Kakamega,Lugari Sub County,ZOdhgR19Akq,54,1500,1129,Chevaywa Ward,54,Kakamega,1500,Lugari,CORRECT,NORMALIZED,
1650,Lwandeti Ward,Kakamega,Lugari Sub County,ZOdhgR19Akq,54,1500,1130,Lwandeti Ward,54,Kakamega,1500,Lugari,CORRECT,NORMALIZED,
1651,Likuyani Ward,Kakamega,Likuyani Sub County,wMv0s3U2nnG,54,1499,1131,Likuyani Ward,54,Kakamega,1499,Likuyani,CORRECT,NORMALIZED,
1652,Sango Ward,Kakamega,Likuyani Sub County,wMv0s3U2nnG,54,1499,1132,Sango Ward,54,Kakamega,1499,Likuyani,CORRECT,NORMALIZED,
